chulGubun,hrNo,korHrnm,prGubun,spTime,stTime,swimTr,time,trDate,trName2
금주출전,0053731,노블윈드,기수,08:40,08:24,-,16분,2026-04-20,라이스(31조)
금주출전,0053954,송골매,관리사,07:37,07:27,-,10분,2026-04-20,임금만(4조)
차주출전,0053832,이지스천마,관리사,08:42,08:31,-,11분,2026-04-20,라이스(31조)
차주출전,0053895,글로벌프린스,관리사,06:37,06:20,-,17분,2026-04-20,이상영(27조)
차주출전,0053791,글로리스데이,관리사,08:16,08:01,-,15분,2026-04-20,조용배(12조)
차주출전,0053729,러블리런,관리사,07:41,07:17,-,24분,2026-04-20,구영준(6조)
차주출전,0053734,벌마의거인,관리사,07:30,07:16,-,14분,2026-04-20,백광열(1조)
금주출전,0053986,리치스카이,관리사,07:34,07:24,-,10분,2026-04-20,강은석(22조)
차주출전,0053929,청춘은자유,관리사,06:26,06:12,-,14분,2026-04-20,토마스(8조)
차주출전,0053987,코어타이거,관리사,08:40,08:27,-,13분,2026-04-20,유현명(19조)
차주출전,0053846,카탈리나마린,관리사,07:23,07:09,-,14분,2026-04-20,양영남(16조)
금주출전,0053848,클러치러너,관리사,07:48,07:31,-,17분,2026-04-20,문현철(3조)
금주출전,0053859,최강치타,관리사,07:12,07:01,-,11분,2026-04-20,강형곤(2조)
금주출전,0053765,닥터헌터,관리사,06:58,06:47,-,11분,2026-04-20,백광열(1조)
차주출전,0053706,동남걸,관리사,06:32,06:21,-,11분,2026-04-20,김혜선(5조)
금주출전,0053787,신흥강타자,관리사,08:38,08:26,-,12분,2026-04-20,조용배(12조)
차주출전,0053864,서귀트러스트,관리사,06:49,06:39,-,10분,2026-04-20,토마스(8조)
차주출전,0053820,언캡쳐드러너,관리사,08:58,08:45,-,13분,2026-04-20,라이스(31조)
차주출전,0053876,필승위너,관리사,06:22,06:10,-,12분,2026-04-20,임성실(7조)
차주출전,0053826,퀸퍼펙트,관리사,06:57,06:46,-,11분,2026-04-20,김혜선(5조)
금주출전,0053973,태평플렉스,기수,06:40,06:30,-,10분,2026-04-20,하무선(28조)
차주출전,0053952,스페이스골드,관리사,08:22,08:05,-,17분,2026-04-20,문현철(3조)
차주출전,0051316,비바참,관리사,06:38,06:28,-,10분,2026-04-20,전승규(25조)
금주출전,0051372,모어댄조크,기수,08:23,08:11,-,12분,2026-04-20,박종곤(1조)
금주출전,0051262,케이엔스톰,기수,08:02,07:51,-,11분,2026-04-20,송문길(40조)
금주출전,0051364,위너글로리,기수,07:58,07:49,-,9분,2026-04-20,최용구(8조)
금주출전,0051384,선더마블,기수,07:23,07:10,-,13분,2026-04-20,우창구(5조)
금주출전,0051218,송당황태자,기수,06:21,06:10,-,11분,2026-04-20,정호익(10조)
차주출전,0051263,사하라칸,관리사,07:48,07:33,-,15분,2026-04-20,성상현(20조)
특별대상경주,0051295,클레어빅뱅,기수,08:17,08:05,-,12분,2026-04-20,송문길(40조)
금주출전,0051407,라라걸,기수,06:23,06:10,-,13분,2026-04-20,최용구(8조)
금주출전,0051322,골드퀸즈,기수,06:56,06:47,-,9분,2026-04-20,이관호(42조)
금주출전,0051147,호세,기수,06:32,06:24,-,8분,2026-04-20,박재우(50조)
금주출전,0051202,블루드래곤,기수,08:06,07:56,-,10분,2026-04-20,이관호(42조)
금주출전,0051334,어퍼핸드,기수,06:55,06:40,-,15분,2026-04-20,서범석(12조)
특별대상경주,0051207,오늘도스마일,기수,07:04,06:56,-,8분,2026-04-20,문병기(21조)
금주출전,0051335,커맨딩리드,관리사,06:36,06:24,-,12분,2026-04-20,서범석(12조)
금주출전,0051332,한마디말도,기수,07:40,07:28,-,12분,2026-04-20,정하백(15조)
금주출전,0051396,스위트송,관리사,08:00,07:43,-,17분,2026-04-20,강성오(9조)
차주출전,0051154,피엔에스액트,기수,07:06,06:54,-,12분,2026-04-20,박천서(54조)
금주출전,0051265,초월마,기수,07:46,07:38,-,8분,2026-04-20,문병기(21조)
차주출전,0051153,베스트조이,관리사,06:20,06:11,-,9분,2026-04-20,강환민(31조)
금주출전,0051253,특급파티,기수,06:31,06:22,-,9분,2026-04-20,서인석(33조)
금주출전,0051386,거센강호,관리사,06:28,06:18,-,10분,2026-04-20,이관호(42조)
차주출전,0051367,최강스피드,관리사,06:18,06:10,-,8분,2026-04-20,전승규(25조)
금주출전,0051220,청룡기운,기수,07:33,07:23,-,10분,2026-04-20,최용건(51조)
차주출전,0054612,클린원,관리사,10:03,09:45,-,18분,2026-04-20,문현철(3조)
차주출전,0054045,로드투넘버원,관리사,07:14,07:03,-,11분,2026-04-20,이정표(18조)
금주출전,0054283,탐라브라보,기수,06:21,06:10,-,11분,2026-04-20,권승주(33조)
차주출전,0054193,벙커버스터,관리사,08:17,08:06,-,11분,2026-04-20,라이스(31조)
차주출전,0054325,이글마인,관리사,09:02,08:46,-,16분,2026-04-20,조용배(12조)
금주출전,0054149,돌풍의중심,기수,08:04,07:50,-,14분,2026-04-20,권승주(33조)
금주출전,0054671,광복의반석,기수,07:34,07:21,-,13분,2026-04-20,김도현(9조)
금주출전,0054052,오아시스해피,관리사,06:31,06:19,-,12분,2026-04-20,백광열(1조)
차주출전,0054096,대길의꿈,관리사,06:27,06:13,-,14분,2026-04-20,구영준(6조)
금주출전,0054209,크리스털물결,기수,06:22,06:10,-,12분,2026-04-20,임성실(7조)
차주출전,0054586,그랜드히어로,관리사,06:47,06:33,-,14분,2026-04-20,구민성(10조)
금주출전,0054101,월드고트,관리사,06:24,06:13,-,11분,2026-04-20,민장기(21조)
차주출전,0054116,서귀블레이드,관리사,08:05,07:53,-,12분,2026-04-20,권승주(33조)
금주출전,0054420,슈퍼히트,관리사,07:25,07:11,-,14분,2026-04-20,방동석(26조)
금주출전,0054585,청양비봉,관리사,06:33,06:23,-,10분,2026-04-20,하무선(28조)
금주출전,0054220,윈나우,관리사,07:43,07:33,-,10분,2026-04-20,문현철(3조)
차주출전,0054219,포트모어,관리사,08:07,07:54,-,13분,2026-04-20,구민성(10조)
차주출전,0054114,희망로기,관리사,06:49,06:38,-,11분,2026-04-20,구민성(10조)
차주출전,0054181,조이오브퀸,관리사,06:25,06:13,-,12분,2026-04-20,안우성(15조)
금주출전,0054228,나이스빅가이,관리사,07:01,06:50,-,11분,2026-04-20,하무선(28조)
금주출전,0054208,리버런,기수,07:30,07:22,-,8분,2026-04-20,임성실(7조)
차주출전,0054385,두바이스타,관리사,09:02,08:45,-,17분,2026-04-20,안우성(15조)
금주출전,0054245,닉스고원,관리사,06:52,06:41,-,11분,2026-04-20,문현철(3조)
차주출전,0054110,황제,관리사,06:22,06:11,-,11분,2026-04-20,라이스(31조)
금주출전,0054140,이십년지기,기수,07:08,06:59,-,9분,2026-04-20,강형곤(2조)
금주출전,0054168,백투더드림,기수,07:59,07:50,-,9분,2026-04-20,임금만(4조)
금주출전,0054603,드래곤리벤저,관리사,06:50,06:40,-,10분,2026-04-20,유현명(19조)
차주출전,0054313,석세스퀸,관리사,06:56,06:42,-,14분,2026-04-20,민장기(21조)
차주출전,1412246,스파크선더,관리사,07:21,07:09,-,12분,2026-04-20,박종곤(1조)
금주출전,1412313,희망밴드,기수,07:00,06:48,-,12분,2026-04-20,이동국(17조)
금주출전,3018074,대지열차,기수,08:00,07:52,-,8분,2026-04-20,강태종(9조)
금주출전,1412301,스파클링,기수,06:21,06:11,-,10분,2026-04-20,서홍수(24조)
금주출전,3018186,육탄왕자,관리사,06:42,06:26,-,16분,2026-04-20,고영덕(13조)
금주출전,3014980,태흥산성,조교사,06:37,06:20,-,17분,2026-04-20,문성호(8조)
금주출전,1412351,불국시대,기수,07:14,07:04,-,10분,2026-04-20,이동국(17조)
차주출전,3018323,미소공원,관리사,06:12,06:03,-,9분,2026-04-20,최기호(7조)
금주출전,3018494,사상최강,기수,06:24,06:11,-,13분,2026-04-20,심도연(4조)
차주출전,3018460,선덕공주,기수,07:50,07:40,-,10분,2026-04-20,문성호(8조)
금주출전,1412243,동진불패,기수,08:09,07:58,-,11분,2026-04-20,박병일(27조)
금주출전,3016416,태왕별,관리사,06:13,06:01,-,12분,2026-04-20,강태종(9조)
금주출전,3016927,힘찬세상,관리사,06:38,06:27,-,11분,2026-04-20,김대연(16조)
차주출전,3018322,덤장파워,기수,07:49,07:36,-,13분,2026-04-20,한상배(14조)
금주출전,3016494,광해청명,기수,06:11,06:04,-,7분,2026-04-20,윤덕상(20조)
금주출전,1412051,퀸아비게일,관리사,06:24,06:10,-,14분,2026-04-20,최봉주(16조)
금주출전,3014894,당대가문,관리사,08:16,07:58,-,18분,2026-04-20,강대은(3조)
차주출전,3018052,일급비상,관리사,07:26,07:14,-,12분,2026-04-20,최기호(7조)
금주출전,3014189,원당봉,관리사,07:40,07:23,-,17분,2026-04-20,이태용(12조)
차주출전,1411620,서머파티,기수,06:24,06:14,-,10분,2026-04-20,이신우(14조)
금주출전,3017000,푸른물결,관리사,07:11,06:59,-,12분,2026-04-20,윤덕상(20조)
금주출전,3018491,더빠르게,관리사,06:52,06:42,-,10분,2026-04-20,한상배(14조)
차주출전,3018471,삼황오제,관리사,06:58,06:48,-,10분,2026-04-20,신경호(17조)
금주출전,3015919,일류어천,관리사,06:45,06:28,-,17분,2026-04-20,김길홍(1조)
금주출전,3014773,새벽바람,조교사,08:29,08:00,-,29분,2026-04-20,이준호(5조)
금주출전,3016744,원동히트,기수,07:21,07:13,-,8분,2026-04-20,김태준(6조)
금주출전,3016259,군자삼락,조교사,07:11,06:57,-,14분,2026-04-20,심도연(4조)
차주출전,1412304,사이클론스타,관리사,06:35,06:22,-,13분,2026-04-20,강환민(31조)
금주출전,1412316,간다고,기수,06:19,06:10,-,9분,2026-04-20,전승규(25조)
금주출전,3018117,천지대장,관리사,06:20,06:11,-,9분,2026-04-20,심도연(4조)
금주출전,1412210,엑설런트탄,기수,06:21,06:10,-,11분,2026-04-20,김동균(52조)
금주출전,1411957,라온파라노마,기수,08:11,08:00,-,11분,2026-04-20,박종곤(1조)
금주출전,1411884,카일리,관리사,08:28,08:18,-,10분,2026-04-20,최용구(8조)
차주출전,3018157,광해왕자,관리사,06:35,06:20,-,15분,2026-04-20,강영진(15조)
