hrName,hrNo,meet,rating1,rating2,rating3,rating4
부경시대,0032705,부산경남,90,90.0,92.0,92.0
카우보이선,0032706,부산경남,105,105.0,106.0,126.0
축제멜로디,0032707,부산경남,86,88.0,90.0,91.0
다크테리어,0032708,부산경남,52,52.0,44.0,44.0
마루온,0032710,부산경남,43,44.0,46.0,47.0
삼일타이거,0032711,부산경남,58,71.0,71.0,72.0
신한제일,0032712,부산경남,57,59.0,60.0,61.0
챔피언드림,0032713,부산경남,74,76.0,77.0,77.0
필드스캠퍼,0032715,부산경남,55,57.0,59.0,60.0
유일신,0032716,부산경남,40,46.0,47.0,48.0
천지감동,0032773,부산경남,87,107.0,107.0,99.0
셀럽,0032775,부산경남,56,68.0,,
미스히어로,0032776,부산경남,25,26.0,27.0,28.0
나우리즈,0032779,부산경남,66,66.0,66.0,63.0
레이디펀치,0032780,부산경남,72,89.0,89.0,89.0
오웬스포춘,0032782,부산경남,82,83.0,83.0,84.0
베스트명운,0032784,부산경남,61,74.0,74.0,74.0
중앙챔프,0032785,부산경남,67,69.0,71.0,72.0
비케이톱,0032786,부산경남,66,66.0,66.0,66.0
미네스트보인타운,0032787,부산경남,86,106.0,107.0,107.0
톱애드머럴,0032788,부산경남,74,74.0,92.0,84.0
무패챔프,0032789,부산경남,46,54.0,54.0,56.0
메이저엠퍼러,0032790,부산경남,59,72.0,73.0,
크림슨플레지,0032792,부산경남,62,76.0,76.0,74.0
영웅천하,0032793,부산경남,64,78.0,79.0,79.0
월드히어로,0032794,부산경남,44,44.0,46.0,55.0
